Agency,Stage_of_Rulemaking,Title,RIN,Link
DOC/NOAA,Proposed Rule Stage,Amendment 36A to the Fishery Management Plan for the Reef Fish Resources of the Gulf of Mexico,0648-BG83,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG83
DOC/NOAA,Proposed Rule Stage,2018 Annual Determination to Implement the Sea Turtle Observer Requirement,0648-BG90,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG90
DOC/NOAA,Proposed Rule Stage,New England Industry-Funded Monitoring Amendment,0648-BG91,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG91
DOC/NOAA,Proposed Rule Stage,Rule to Modify the Number of Unrigged Hooks Carried Onboard Bottom Longline Vessels in the Gulf of Mexico,0648-BG92,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG92
DOC/NOAA,Proposed Rule Stage,Allow Halibut Individual Fishing Quota Leasing to Community Development Quota Groups,0648-BG94,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG94
DOC/NOAA,Proposed Rule Stage,Nontrawl Lead Level 2 Observers,0648-BG96,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG96
DOC/NOAA,Proposed Rule Stage,Atlantic Highly Migratory Species; Revisions to Shark Fishery Closure Regulations,0648-BG97,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG97
DOC/NOAA,Proposed Rule Stage,Fisheries off West Coast States; Pacific Coast Groundfish Fishery; Amendment 21-3 to the Pacific Coast Groundfish Fishery Management Plan,0648-BG98,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG98
DOC/NOAA,Proposed Rule Stage,Rule to Modify Mutton Snapper and Gag Management Measures in the Gulf of Mexico,0648-BG99,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG99
DOC/NOAA,Proposed Rule Stage,Regulatory Amendment 4 to the Fishery Management Plan for Spiny Lobster in the Gulf of Mexico and the South Atlantic,0648-BH01,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH01
DOC/NOAA,Proposed Rule Stage,Amendment 116 to the Fishery Management Plan for Groundfish of the Bering Sea and Aleutian Islands Management Area,0648-BH02,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH02
DOC/NOAA,Proposed Rule Stage,Framework Adjustment 4 to the Northeast Skate Complex Fishery Management Plan,0648-BH03,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH03
DOC/NOAA,Proposed Rule Stage,"2018-2020 Specifications and Management Measures for the Atlantic Mackerel, Squid, and Butterfish Fishery Management Plan",0648-BH04,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH04
DOC/NOAA,Proposed Rule Stage,Amendment 117 and Amendment 106 to Reclassify Squid in the Fishery Management Plans for Groundfish of the Bering Sea/Aleutian Islands and the Gulf of Alaska,0648-BH05,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH05
DOC/NOAA,Proposed Rule Stage,Taking and Importing Marine Mammals; Taking Marine Mammals Incidental to the U.S. Navy Training and Testing Activities in the Atlantic Fleet Training and Testing Study Area,0648-BH06,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH06
DOC/NOAA,Proposed Rule Stage,Amendment 47 to the Fishery Management Plan for Reef Fish Resources of the Gulf of Mexico,0648-BH07,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH07
DOC/NOAA,Proposed Rule Stage,Harvest Specifications for the 2017-2018 and 2018-2019 Pacific Mackerel Fishing Years; Coastal Pelagic Species Fishery Management Plan,0648-BH08,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH08
DOC/NOAA,Proposed Rule Stage,Management Measures for Tropical Tunas in the Eastern Pacific Ocean,0648-BH13,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH13
DOC/NOAA,Proposed Rule Stage,Rule to Modify Greater Amberjack Allowable Harvest and Rebuilding Plan in the Gulf of Mexico,0648-BH14,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH14
DOC/NOAA,Proposed Rule Stage,Interim Measures to Reduce Overfishing of Golden Tilefish,0648-BH15,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH15
DOC/NOAA,Proposed Rule Stage,Squid Capacity Amendment,0648-BH16,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH16
DOC/NOAA,Proposed Rule Stage,Atlantic Highly Migratory Species; Individual Bluefin Quota Program; Quarterly Accountability,0648-BH17,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH17
DOC/NOAA,Proposed Rule Stage,Multi-Year Annual Catch Limits for the Finfish Stocks in the Monitored Stock Category; Coastal Pelagic Species Fishery Management Plan,0648-BH18,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH18
DOC/NOAA,Proposed Rule Stage,Atlantic Highly Migratory Species; Rule to Create a Separate Regulatory Provision for Commercial Sale of Atlantic Highly Migratory Species by Charter/Headboat Vessels,0648-BH19,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH19
DOC/NOAA,Proposed Rule Stage,Taking and Importing Marine Mammals; Taking Marine Mammals Incidental to Testing and Training Activities Conducted in the Eglin Gulf Test and Training Range,0648-BH21,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH21
DOC/NOAA,Proposed Rule Stage,Standardized Bycatch Reporting Methodology Omnibus Lobster Framework Adjustment,0648-BH23,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH23
DOC/NOAA,Proposed Rule Stage,"Taking of Marine Mammals Incidental to the United States Navy Pier Construction at the Naval Submarine Base New London Pier, Groton, Connecticut",0648-BH24,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH24
DOC/NOAA,Proposed Rule Stage,Subsistence Taking of Northern Fur Seals on the Pribilof Islands; St. Paul Island,0648-BH25,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH25
DOC/NOAA,Proposed Rule Stage,Scup Quota Period Framework Adjustment,0648-BH26,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH26
DOC/NOAA,Proposed Rule Stage,Taking Marine Mammals Incidental to U.S. Navy Marine Structure Maintenance and Pile Replacement in Washington,0648-BH27,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH27
DOC/NOAA,Proposed Rule Stage,"Taking Marine Mammals Incidental to U.S. Navy Construction at Naval Weapons Station Seal Beach, California",0648-BH28,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH28
DOC/NOAA,Proposed Rule Stage,Taking and Importing Marine Mammals; Taking Marine Mammals Incidental to the U.S. Navy Training and Testing Activities in the Hawaii-Southern California Training and Testing Study Area,0648-BH29,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH29
DOC/NOAA,Proposed Rule Stage,International Fisheries; Revised 2018 Commercial Fishing Restrictions for Pacific Bluefin Tuna in the Eastern Pacific Ocean; 2018 Catch Limit,0648-BH30,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH30
DOC/NOAA,Proposed Rule Stage,"Conservation of Endangered and Threatened Species; Revision of Regulations to Address Interagency Cooperation, and Exceptions",0648-BH41,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH41
DOC/NOAA,Proposed Rule Stage,Endangered and Threatened Species of Wildlife and Plants; Revision of the Regulations for Listing Species and Designating Critical Habitat,0648-BH42,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH42
DOC/NOAA,Proposed Rule Stage,Changes in Regulations for Greater Farallones and Cordell Bank National Marine Sanctuaries Regarding Discharge Requirements for U.S. Coast Guard Activities,0648-BG73,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG73
DOC/NOAA,Proposed Rule Stage,Flower Garden Banks National Marine Sanctuary Boundary Expansion,0648-BA21,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BA21
DOC/NOAA,Proposed Rule Stage,Monitor National Marine Sanctuary Boundary Expansion,0648-BG00,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG00
DOC/NOAA,Final Rule Stage,Omnibus Acceptable Biological Catch Framework Adjustment,0648-BE65,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BE65
DOC/NOAA,Final Rule Stage,Modification of the Temperature-Dependent Component of the Pacific Sardine Harvest Guideline Control Rule to Incorporate New Scientific Information,0648-BE77,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BE77
DOC/NOAA,Final Rule Stage,Pacific Coast Groundfish Fishing Capacity Reduction Loan Refinance,0648-BE90,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BE90
DOC/NOAA,Final Rule Stage,Pacific Coast Groundfish Trawl Rationalization Program; Widow Rockfish Reallocation in the Individual Fishing Quota Fishery,0648-BF12,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BF12
DOC/NOAA,Final Rule Stage,International Fisheries; Western and Central Pacific Fisheries for Highly Migratory Species; Purse Seine Fishing Restrictions During Closure Periods,0648-BF23,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BF23
DOC/NOAA,Final Rule Stage,"Taking Marine Mammals Incidental to Survey Activities of the National Marine Fisheries Service, Northwest Fisheries Science Center",0648-BF47,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BF47
DOC/NOAA,Final Rule Stage,Regulatory Amendment to the Pacific Coast Groundfish Fishery Management Plan to Implement an Electronic Monitoring Program for the Pacific Whiting Fishery,0648-BF52,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BF52
DOC/NOAA,Final Rule Stage,Blueline Tilefish Amendment to the Golden Tilefish Fishery Management Plan,0648-BF86,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BF86
DOC/NOAA,Final Rule Stage,Magnuson-Stevens Act Provisions; Fisheries off West Coast States; Pacific Coast Groundfish Fishery; Specifications and Management Measures and Fishery Management Plan Amendment 27,0648-BG17,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG17
DOC/NOAA,Final Rule Stage,Taking Marine Mammals Incidental to U.S. Navy Operations of Surveillance Towed Array Sensor System Low Frequency Active Sonar,0648-BG35,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG35
DOC/NOAA,Final Rule Stage,Regulation to Reduce Incidental Bycatch and Mortality of Sea Turtles in the Southeastern U.S. Shrimp Fisheries,0648-BG45,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG45
DOC/NOAA,Final Rule Stage,Regulatory Amendment to Revise the State Waters Scallop Exemption Program for the States of Maine and Massachusetts Under the Atlantic Sea Scallop Fishery Management Plan,0648-BG70,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG70
DOC/NOAA,Final Rule Stage,International Fisheries; Western and Central Pacific Fisheries for Highly Migratory Species; Bigeye Tuna Catch Limits in Longline Fisheries for 2017,0648-BG78,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG78
DOC/NOAA,Final Rule Stage,Rule to Implement Amendment 48 to the Fishery Management Plan for Bering Sea/Aleutian Islands King and Tanner Crabs,0648-BG84,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG84
DOC/NOAA,Final Rule Stage,International Fisheries; Pacific Tuna Fisheries; Restrictions on Fishing for Sharks in the Eastern Pacific Ocean,0648-BG85,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG85
DOC/NOAA,Final Rule Stage,Amendment 46 to the Fishery Management Plan for Reef Fish Resources of the Gulf of Mexico to Establish a Gray Triggerfish Rebuilding Plan,0648-BG87,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG87
DOC/NOAA,Final Rule Stage,Regulatory Amendment 6 to the Reef Fish Fishery Management Plan of Puerto Rico and the U.S. Virgin Islands,0648-BG88,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG88
DOC/NOAA,Final Rule Stage,International Fisheries; Western and Central Pacific Fisheries for Highly Migratory Species; Fishing Limits in Purse Seine Fisheries for 2017,0648-BG93,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG93
DOC/NOAA,Final Rule Stage,Pacific Coast Groundfish Fishery; Potential Accumulation Limits for Catcher Processor Permit Use or Ownership,0648-BH00,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH00
DOC/NOAA,Final Rule Stage,Technical Amendment to Update Internet Web Addresses in Marine Mammal Protection Act and Dolphin Protection Consumer Information Act Regulations,0648-BH09,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH09
DOC/NOAA,Final Rule Stage,Specification of Annual Catch Limits for Red Snapper in the South Atlantic Region; Temporary Measure through Emergency Action,0648-BH10,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH10
DOC/NOAA,Final Rule Stage,Windowpane Flounder Emergency Rule,0648-BH11,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH11
DOC/NOAA,Final Rule Stage,Pacific Coast Groundfish Fishery; Biennial Specifications and Management Measures; Inseason Adjustments,0648-BH20,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH20
DOC/NOAA,Final Rule Stage,Fisheries Off West Coast States; West Coast Salmon Fisheries; 2018 Management Measures,0648-BH22,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BH22
DOC/NOAA,Final Rule Stage,Changes to the Coastal Zone Management Act Program Change Procedures,0648-AW74,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-AW74
DOC/NOAA,Final Rule Stage,Regulatory Review and Update of National Marine Sanctuary Program Regulations,0648-AV85,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-AV85
DOC/NOAA,Final Rule Stage,Postponing Regulations Regarding Discharge Requirements for U.S. Coast Guard Activities in Greater Farallones and Cordell Bank National Marine Sanctuaries,0648-BF99,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BF99
DOC/NOAA,Final Rule Stage,Wisconsin-Lake Michigan National Marine Sanctuary Designation,0648-BG01,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG01
DOC/NOAA,Final Rule Stage,Mallows Bay-Potomac River National Marine Sanctuary Designation,0648-BG02,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0648-BG02
DOC/PTO,Proposed Rule Stage,Corrections to Representation of Others Before the USPTO,0651-AC91,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0651-AC91
DOC/PTO,Proposed Rule Stage,Appeals Before the Patent Trial and Appeal Board,0651-AD04,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0651-AD04
DOC/PTO,Proposed Rule Stage,Changes to Trademark Rules of Practice to Mandate Electronic Filing,0651-AD15,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0651-AD15
DOC/PTO,Proposed Rule Stage,America Invents Act Trials Before the Patent Trial and Appeal Board,0651-AD16,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0651-AD16
DOC/PTO,Proposed Rule Stage,Changes to United States Patent and Trademark Office Freedom of Information Act,0651-AD17,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0651-AD17
DOC/PTO,Proposed Rule Stage,Changes to the Rules of Practice Pertaining to Patent Term Adjustment,0651-AD18,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0651-AD18
DOC/PTO,Proposed Rule Stage,Miscellaneous Changes to Trademark Trial and Appeal Board Rules of Practice,0651-AD20,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0651-AD20
DOC/PTO,Proposed Rule Stage,Removal of Rules Governing Trademark Interferences,0651-AD23,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0651-AD23
DOC/PTO,Proposed Rule Stage,Removal of Regulations Governing Requests for Presidential Proclamations Under the Semiconductor Chip Protection Act of 1984 and Certain Rules Relating to Registration to Practice and Discipline,0651-AD24,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0651-AD24
DOC/PTO,Proposed Rule Stage,Changes to Eliminate Unnecessary Regulations,0651-AD25,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0651-AD25
DOC/PTO,Final Rule Stage,Revision of the Duty to Disclose Information in Patent Applications and Reexamination Proceedings,0651-AC58,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0651-AC58
DOC/PTO,Final Rule Stage,Setting and Adjusting Patent Fees During Fiscal Year 2017,0651-AD02,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0651-AD02
DOC/PTO,Final Rule Stage,Rule Recognizing Privileged Communications Between Clients and Patent Practitioners at the Patent Trial and Appeal Board,0651-AD10,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0651-AD10
DOC/PTO,Final Rule Stage,Expansion of the Availability of Track I Prioritized Examination to U.S. National Stage Applications and Increase of the Annual Cap on Granted Requests,0651-AD19,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0651-AD19
